Publication Years	Record Count	% of 3,911
2021	559	14.293
2020	524	13.398
2019	373	9.537
2018	345	8.821
2017	290	7.415
2015	248	6.341
2016	248	6.341
2014	227	5.804
2013	192	4.909
2011	173	4.423
2012	167	4.270
2010	124	3.171
2009	119	3.043
2008	84	2.148
2007	41	1.048
2006	30	0.767
2005	28	0.716
2004	24	0.614
2000	16	0.409
2001	16	0.409
2002	16	0.409
2003	14	0.358
1999	11	0.281
1998	9	0.230
1996	8	0.205
1992	6	0.153
1993	5	0.128
1995	4	0.102
1997	4	0.102
1991	3	0.077
1994	3	0.077
