Publication Years	Record Count	% of 138
2021	21	15.217
2017	17	12.319
2020	12	8.696
2008	10	7.246
2012	10	7.246
2013	9	6.522
2016	8	5.797
2014	7	5.072
2015	7	5.072
2018	6	4.348
2006	5	3.623
2009	5	3.623
2011	5	3.623
2010	4	2.899
2019	4	2.899
2005	2	1.449
2007	2	1.449
1996	1	0.725
2002	1	0.725
2004	1	0.725
2022	1	0.725
